"symbol"	"log2fc"	"pv"	"fdr"	"dataset_id"	"dataset_annot"
"MIER1"	0.6703923	0.0131906	0.417	"GSE781"	"renal_cell_carcinoma"
"KDM2B"	0.6645992	0.0128526	0.416	"GSE781"	"renal_cell_carcinoma"
"TIMM22"	0.6641149	0.0432848	0.494	"GSE781"	"renal_cell_carcinoma"
"UTRN"	0.6634758	0.0365003	0.484	"GSE781"	"renal_cell_carcinoma"
"CSNK2A2"	0.6621588	0.0146047	0.422	"GSE781"	"renal_cell_carcinoma"
"TBC1D15"	0.6591387	0.0427084	0.493	"GSE781"	"renal_cell_carcinoma"
"RAP2A"	0.6569966	0.023948	0.457	"GSE781"	"renal_cell_carcinoma"
"ZSCAN25"	0.6508031	0.0474869	0.505	"GSE781"	"renal_cell_carcinoma"
"KMT2E"	0.6503546	0.0414937	0.493	"GSE781"	"renal_cell_carcinoma"
"AIDA"	0.6446227	0.0443734	0.498	"GSE781"	"renal_cell_carcinoma"
"KXD1"	0.6428305	0.025272	0.46	"GSE781"	"renal_cell_carcinoma"
"NRM"	0.6420886	0.0280266	0.466	"GSE781"	"renal_cell_carcinoma"
"C12orf57"	0.6420776	0.019874	0.438	"GSE781"	"renal_cell_carcinoma"
"CEP41"	0.6419369	0.0456739	0.499	"GSE781"	"renal_cell_carcinoma"
"MAML2"	0.6402697	0.0273658	0.464	"GSE781"	"renal_cell_carcinoma"
"POLR1B"	0.6371219	0.0125168	0.416	"GSE781"	"renal_cell_carcinoma"
"LYSMD3"	0.6349994	0.0338859	0.476	"GSE781"	"renal_cell_carcinoma"
"PGBD2"	0.63451	0.0384727	0.488	"GSE781"	"renal_cell_carcinoma"
"HSPA14"	0.6339453	0.0300532	0.472	"GSE781"	"renal_cell_carcinoma"
"ZNF490"	0.6319881	0.0125728	0.416	"GSE781"	"renal_cell_carcinoma"
"PML"	0.6304902	0.0124137	0.416	"GSE781"	"renal_cell_carcinoma"
"TBL1XR1"	0.62848	0.0332416	0.476	"GSE781"	"renal_cell_carcinoma"
"GMCL1"	0.6283411	0.0217165	0.445	"GSE781"	"renal_cell_carcinoma"
"CHD6"	0.628116	0.037384	0.485	"GSE781"	"renal_cell_carcinoma"
"MITD1"	0.6237862	0.030287	0.472	"GSE781"	"renal_cell_carcinoma"
"GUK1"	0.6208095	0.0461202	0.5	"GSE781"	"renal_cell_carcinoma"
"BPTF"	0.6203921	0.0111835	0.414	"GSE781"	"renal_cell_carcinoma"
"TP53INP1"	0.6183583	0.0405009	0.493	"GSE781"	"renal_cell_carcinoma"
"ZC3H18"	0.6179466	0.0323204	0.476	"GSE781"	"renal_cell_carcinoma"
"RSBN1"	0.6178611	0.0270394	0.463	"GSE781"	"renal_cell_carcinoma"
"MSL1"	0.6133485	0.0209227	0.44	"GSE781"	"renal_cell_carcinoma"
"NHSL2"	0.6119408	0.0437838	0.495	"GSE781"	"renal_cell_carcinoma"
"CTDSPL2"	0.611453	0.0418685	0.493	"GSE781"	"renal_cell_carcinoma"
"JMJD1C"	0.6107366	0.0213145	0.442	"GSE781"	"renal_cell_carcinoma"
"GPBP1"	0.6101551	0.0406625	0.493	"GSE781"	"renal_cell_carcinoma"
"DENND4C"	0.6082963	0.0292526	0.469	"GSE781"	"renal_cell_carcinoma"
"DCAF12"	0.6042787	0.0192032	0.438	"GSE781"	"renal_cell_carcinoma"
"PPP1R9B"	0.6023629	0.0402891	0.493	"GSE781"	"renal_cell_carcinoma"
"TMPO"	0.5992263	0.0294573	0.469	"GSE781"	"renal_cell_carcinoma"
"EBLN3P"	0.5990014	0.0488361	0.507	"GSE781"	"renal_cell_carcinoma"
"RSBN1L"	0.5967325	0.0083852	0.389	"GSE781"	"renal_cell_carcinoma"
"NMD3"	0.5966005	0.0436861	0.495	"GSE781"	"renal_cell_carcinoma"
"LOC100049716"	0.595546	0.0166709	0.434	"GSE781"	"renal_cell_carcinoma"
"SP1"	0.5944571	0.0253808	0.46	"GSE781"	"renal_cell_carcinoma"
"BRI3BP"	0.5943856	0.0418057	0.493	"GSE781"	"renal_cell_carcinoma"
"RSL24D1"	0.5924112	0.0346665	0.481	"GSE781"	"renal_cell_carcinoma"
"PHC3"	0.5905731	0.0373355	0.485	"GSE781"	"renal_cell_carcinoma"
"CREB1"	0.5901108	0.0393401	0.489	"GSE781"	"renal_cell_carcinoma"
